"","Year","Pre-tax factor income","Pre-tax national income","Post-tax disposable income"
"1",2004,32.8071272272585,28.9778055642388,26.8834010628321
"2",2005,31.7543335325762,28.0035863717872,26.0161386730424
"3",2006,33.8635668400122,29.6726827776078,27.3325175894769
"4",2007,37.1628517276571,31.1707245954221,29.0275550371774
"5",2008,37.5303840544482,31.2591152163345,28.5529087668125
"6",2009,33.7811212609708,28.9091886082751,26.3478416621888
"7",2010,36.1181972789116,29.8256802721088,26.7857142857143
"8",2011,35.1502916105877,29.4751009421265,26.2673844773441
"9",2012,34.6015641513422,28.8311139294018,26.2523779327838
"10",2013,34.6587537091988,28.8822947576657,27.1216617210683
"11",2014,33.4423971069399,27.2946443946961,25.4864818322714
"12",2015,33.3668341708543,27.7386934673367,25.5108877721943
"13",2016,33.6092429729264,27.8496292464218,26.0044835316434
