"","Year","Pre-tax factor income","Pre-tax national income","Post-tax disposable income"
"1",2004,27.3159534349893,22.1839645843581,18.9375307427447
"2",2005,26.3802729528536,21.6191066997519,18.8120347394541
"3",2006,28.6810551558753,23.2134292565947,19.744204636291
"4",2007,32.2085889570552,24.3711656441718,20.7208588957055
"5",2008,32.2316865417376,23.5093696763203,20
"6",2009,27.8891178123244,21.6707248548417,17.8872448023975
"7",2010,30.3340757238307,22.3830734966592,18.3296213808463
"8",2011,29.535864978903,21.9878105954055,18.2372245663385
"9",2012,28.7701479355266,21.4616913225878,17.9951424155443
"10",2013,28.6992715920916,22.0395421436004,18.7721123829344
"11",2014,27.6086956521739,20.4528985507246,17.0289855072464
"12",2015,28.3847360167277,20.2997037811465,17.3549398849974
"13",2016,28.6538114975671,20.6163272661741,17.4626058749324
