"","Year","Pre-tax factor income","Pre-tax national income","Post-tax disposable income"
"1",2004,46.3436385255648,32.2235434007134,28.5374554102259
"2",2005,47.2414724147241,30.4653046530465,26.9552695526955
"3",2006,46.5725047080979,28.9642184557439,26.1111111111111
"4",2007,44.3994068215521,28.6109738012852,25.1903114186851
"5",2008,45.707927087749,28.6880033912675,24.7456549385333
"6",2009,47.7402653435444,29.7918239672096,24.8732607054255
"7",2010,48.6802092202895,30.5072375623404,25.0456148886997
"8",2011,48.5360505610731,30.3624403456726,25.5385012253321
"9",2012,48.4126018732514,31.6749787130519,27.2472935166038
"10",2013,48.7019612288856,30.7221403468994,26.3688924158259
"11",2014,48.1088187702265,30.7645631067961,27.1945792880259
"12",2015,47.4652036980595,30.2854820684751,26.1404043482678
"13",2016,47.3005810882198,29.5615425250924,25.8954041204437
